GEO_ID|B11001_E001|B11001_M001|B11001_E002|B11001_M002|B11001_E003|B11001_M003|B11001_E004|B11001_M004|B11001_E005|B11001_M005|B11001_E006|B11001_M006|B11001_E007|B11001_M007|B11001_E008|B11001_M008|B11001_E009|B11001_M009
02000E2US1|1157472|3480|755862|3024|591831|3184|164031|2674|57043|1752|106988|2377|401610|3165|327675|3404|73935|1925
02000E2US2|2105136|5467|1437383|4503|1161732|4923|275651|3836|102170|2470|173481|2787|667753|4974|556374|5052|111379|2176
02000E2US3|2959162|7708|2031716|7541|1516762|9150|514954|5534|152381|3403|362573|4784|927446|6604|794711|6429|132735|2866
02000E2US4|1154671|4044|772276|4221|600884|4629|171392|2817|60727|1935|110665|2110|382395|4146|308499|3910|73896|1829
02000G0US1|589125|2891|364316|2657|287328|2848|76988|1721|26935|935|50053|1416|224809|2413|182358|2444|42451|1285
02000G0US2|2521386|11261|1614211|6114|1281787|6549|332424|3291|120350|1817|212074|2527|907175|8122|774697|7800|132478|2018
02000G0US3|3312752|11258|2177273|8715|1575863|8460|601410|5244|169385|3281|432025|3763|1135479|8038|995786|7740|139693|2712
02000G0US4|767264|3075|488157|3418|382501|3020|105656|2283|35055|1392|70601|1755|279107|2882|234431|2961|44676|1701
02000H0US1|2044631|5756|1275179|5156|980157|5506|295022|3418|100471|2247|194551|2853|769452|4472|625069|4460|144383|2884
02000H0US2|5995959|21103|3803926|11799|2963649|14206|840277|7463|294770|4393|545507|5067|2192033|13534|1836533|14141|355500|3844
02000H0US3|7699617|20529|5042816|15988|3607713|17587|1435103|8776|394952|5576|1040151|6166|2656801|11436|2285274|12243|371527|5262
02000H0US4|2582229|6645|1646708|7454|1256866|7476|389842|4629|130827|3034|259015|3908|935521|6001|756602|5891|178919|3174
020C201US1|18966220|27970|11686779|27259|8222640|36103|3464139|19020|941952|9342|2522187|14950|7279441|19277|5852210|18979|1427231|11392
020C201US2|20994295|39751|12437085|33077|8912561|47228|3524524|21716|1007088|11061|2517436|14980|8557210|19330|6939299|22326|1617911|11274
020C201US3|37884375|65412|23961675|68227|16796244|82913|7165431|27662|1900615|16223|5264816|21706|13922700|31611|11296526|31235|2626174|17684
020C201US4|25609096|38443|16675159|43209|12099224|55644|4575935|21484|1488816|11958|3087119|14438|8933937|19762|6751211|17603|2182726|12794
020C243US1|3625996|9839|2531251|7728|2078874|8446|452377|4957|164804|2829|287573|3602|1094745|7476|875844|7194|218901|3835
020C243US2|6977606|16125|4910970|9403|4077485|10796|833485|6664|322141|4576|511344|4099|2066636|11850|1725429|11585|341207|3235
020C243US3|11874375|30590|8451571|23745|6556857|26808|1894714|10346|584409|7025|1310305|7993|3422804|15449|2927126|16081|495678|6477
020C243US4|3295533|10748|2336038|9272|1893503|9120|442535|5314|162994|3438|279541|3835|959495|6347|773191|6686|186304|3221
0300000US1|6087016|10892|3811250|11275|2838028|14466|973222|9471|284291|5166|688931|7994|2275766|10004|1772325|10781|503441|5901
0300000US2|16505200|22938|10406780|23073|7463486|30241|2943294|15622|822465|8816|2120829|12009|6098420|16003|4955729|15867|1142691|9850
0300000US3|19171498|31414|11883388|26376|8765417|37759|3117971|18099|933610|9859|2184361|12219|7288110|17362|5961507|20049|1326603|9508
0300000US4|8800403|22255|5464667|14821|4224629|19116|1240038|9958|395619|5914|844419|7192|3335736|12603|2703221|13767|632515|5692
0300000US5|26411354|50143|17048189|51351|12339673|62066|4708516|19875|1282203|12491|3426313|14993|9363165|21451|7610555|21917|1752610|12985
0300000US6|7781424|17329|5006971|15781|3584360|18326|1422611|9091|372793|5674|1049818|7584|2774453|11350|2334024|11377|440429|6282
0300000US7|15565972|23912|10358086|26830|7429068|31064|2929018|15781|830028|8214|2098990|13593|5207886|15949|4279073|15726|928813|10280
0300000US8|9810310|17023|6310096|18047|4752469|21724|1557627|10013|520657|6183|1036970|7684|3500214|11325|2697596|11560|802618|6564
0300000US9|19094319|26857|12701101|31910|9240258|40750|3460843|16458|1131153|10290|2329690|11024|6393218|16161|4826806|15306|1566412|10366
03000A0US1|5805646|9734|3641608|10625|2702855|13830|938753|9416|272779|5070|665974|8041|2164038|9361|1684001|10114|480037|5923
03000A0US2|16197445|22022|10212106|22648|7311331|29681|2900775|15506|807042|8946|2093733|11774|5985339|15828|4861695|15728|1123644|9644
03000A0US3|17960032|27281|11104669|24965|8153361|35638|2951308|17884|872714|9576|2078594|12182|6855363|16536|5594815|18454|1260548|9441
03000A0US4|7490483|15852|4629175|12384|3554898|16409|1074277|9119|336165|5590|738112|6633|2861308|9162|2295216|10320|566092|5686
03000A0US5|25064821|46519|16176242|49334|11712500|59806|4463742|20073|1215055|12157|3248687|15267|8888579|20716|7197136|20846|1691443|12907
03000A0US6|6872172|14281|4406851|13701|3154716|16453|1252135|8636|326017|5190|926118|7253|2465321|10480|2061216|10275|404105|6269
03000A0US7|14509005|21273|9652880|25421|6910022|29907|2742858|15459|774567|8125|1968291|13421|4856125|16057|3969514|15611|886611|10016
03000A0US8|9306254|15875|5990222|17098|4499158|20947|1491064|9795|498824|6092|992240|7721|3316032|10522|2541133|10968|774899|6249
03000A0US9|18831111|26282|12532818|31319|9111068|40522|3421750|16607|1117931|10323|2303819|11070|6298293|16423|4748838|15318|1549455|10478
03000C0US1|5324106|8896|3341072|10509|2468514|13284|872558|8840|250294|4890|622264|7662|1983034|9455|1540733|10097|442301|6030
03000C0US2|15223479|20471|9601779|21917|6852843|28074|2748936|15090|755991|8776|1992945|11234|5621700|16022|4562252|15523|1059448|9439
03000C0US3|15729581|22089|9690875|22296|7070957|31704|2619918|15995|758151|9162|1861767|11169|6038706|15832|4919529|16499|1119177|9514
03000C0US4|6246361|11561|3853254|10906|2955440|14454|897814|8411|276308|5152|621506|6391|2393107|8618|1908666|9362|484441|5081
03000C0US5|23344109|43056|15057008|46560|10921218|55603|4135790|18387|1127901|11780|3007889|14259|8287101|20007|6690520|19874|1596581|12369
03000C0US6|5487862|11627|3504475|12621|2515372|13927|989103|7177|255450|4501|733653|6145|1983387|10191|1650653|9707|332734|5402
03000C0US7|13227162|18905|8808947|24047|6308798|28453|2500149|14762|706721|8118|1793428|12730|4418215|15812|3597205|15395|821010|9732
03000C0US8|8338103|14425|5361242|15634|4018686|19221|1342556|10062|447444|5874|895112|7474|2976861|10138|2267204|10760|709657|6080
03000C0US9|17984297|24725|12003247|29668|8717175|38807|3286072|16400|1073539|10298|2212533|11032|5981050|15233|4500596|14621|1480454|9936
03000C1US1|1338282|4029|717487|4895|456036|5041|261451|4236|69279|2418|192172|3935|620795|5096|462268|4669|158527|3076
03000C1US2|5460794|9847|3035924|13269|1789262|12241|1246662|9364|306415|5677|940247|7814|2424870|13416|1930523|11761|494347|7525
03000C1US3|5578851|8672|2955367|11300|1851787|11494|1103580|8193|285725|5156|817855|6373|2623484|10769|2100739|9579|522745|6243
03000C1US4|2717321|6619|1446510|6541|1038091|7821|408419|5104|118770|3014|289649|4126|1270811|6228|992765|6168|278046|3868
03000C1US5|7362543|15007|4076582|17871|2741793|18144|1334789|10379|333474|6750|1001315|8845|3285961|13824|2610061|12949|675900|8010
03000C1US6|2248510|6776|1246841|6220|787495|6864|459346|5547|106864|2665|352482|5065|1001669|6977|815321|6754|186348|4041
03000C1US7|6657705|10666|3999683|13301|2662714|15038|1336969|10004|364969|5837|972000|8553|2658022|12277|2139497|12416|518525|7428
03000C1US8|4422746|8822|2607213|9761|1855812|11880|751401|8264|245151|4165|506250|6801|1815533|7291|1367437|8362|448096|4830
03000C1US9|8778311|14431|5354822|16011|3804524|20479|1550298|9985|498923|7247|1051375|7203|3423489|13192|2538380|11622|885109|8028
03000C2US1|3985824|8086|2623585|7912|2012478|10225|611107|7245|181015|4009|430092|6028|1362239|8745|1078465|9729|283774|4642
03000C2US2|9762685|15485|6565855|14047|5063581|20039|1502274|11071|449576|5921|1052698|8319|3196830|10617|2631729|11747|565101|5673
03000C2US3|10150730|18219|6735508|14987|5219170|23276|1516338|13859|472426|7126|1043912|9212|3415222|13082|2818790|14667|596432|6851
03000C2US4|3529040|7659|2406744|6995|1917349|8841|489395|5338|157538|3403|331857|4476|1122296|7156|915901|7391|206395|3051
03000C2US5|15981566|32636|10980426|32186|8179425|41111|2801001|15176|794427|9940|2006574|11647|5001140|16657|4080459|16597|920681|9592
03000C2US6|3239352|9316|2257634|9109|1727877|9986|529757|5133|148586|3508|381171|4043|981718|8047|835332|7821|146386|3184
03000C2US7|6569457|14086|4809264|15095|3646084|17023|1163180|9182|341752|6438|821428|7882|1760193|10992|1457708|9259|302485|5879
03000C2US8|3915357|9429|2754029|8456|2162874|11095|591155|5827|202293|3752|388862|4722|1161328|7341|899767|7499|261561|3883
03000C2US9|9205986|16467|6648425|16368|4912651|21894|1735774|11529|574616|7211|1161158|7932|2557561|12804|1962216|11070|595345|6667
03000E0US1|481540|2008|300536|2542|234341|2301|66195|1964|22485|1143|43710|1830|181004|2221|143268|2250|37736|1520
03000E0US2|973966|2790|610327|2760|458488|2964|151839|2191|51051|1374|100788|2031|363639|2696|299443|2641|64196|1771
03000E0US3|2230451|6332|1413794|5168|1082404|6338|331390|4753|114563|3055|216827|3181|816657|5421|675286|5620|141371|2770
03000E0US4|1244122|5173|775921|4462|599458|4628|176463|3012|59857|1939|116606|2254|468201|4400|386550|4324|81651|2234
03000E0US5|1720712|5143|1119234|5735|791282|6780|327952|4440|87154|2623|240798|3888|601478|5011|506616|4734|94862|2577
03000E0US6|1384310|4366|902376|5073|639344|5495|263032|4054|70567|2244|192465|3482|481934|4606|410563|4516|71371|2501
03000E0US7|1281843|4343|843933|4708|601224|4495|242709|3894|67846|2196|174863|2984|437910|4600|372309|4399|65601|2041
03000E0US8|968151|3475|628980|4144|480472|4400|148508|2881|51380|1964|97128|2395|339171|3852|273929|3803|65242|2000
03000E0US9|846814|3067|529571|3969|393893|3975|135678|2884|44392|1717|91286|2264|317243|3666|248242|3624|69001|2062
03000E1US1|113755|1394|60897|1210|42453|1219|18444|1000|5877|652|12567|877|52858|1526|41879|1408|10979|941
03000E1US2|184279|1687|94104|1237|58545|1359|35559|1149|10616|760|24943|1010|90175|1802|73157|1816|17018|1033
03000E1US3|727326|4093|390218|3073|261776|3482|128442|2930|40414|1836|88028|2128|337108|3633|276187|3771|60921|1846
03000E1US4|642111|4426|362114|3562|258354|3607|103760|2192|31836|1389|71924|1791|279997|3777|229275|3608|50722|1806
03000E1US5|430324|2902|247464|2498|147268|2483|100196|2378|21363|1234|78833|2228|182860|3141|152974|2787|29886|1504
03000E1US6|433332|2890|247678|2632|150340|2600|97338|2442|22090|1397|75248|2192|185654|3127|154417|2952|31237|1656
03000E1US7|564047|3626|338685|2587|217480|3055|121205|2308|29733|1378|91472|1804|225362|3326|187386|3529|37976|1657
03000E1US8|397660|2769|238631|2642|173339|2708|65292|1813|22138|1332|43154|1847|159029|2869|126329|2595|32700|1588
03000E1US9|262634|2323|147644|1896|100142|1983|47502|1870|12907|997|34595|1791|114990|2451|87343|2215|27647|1532
03000E2US1|367785|2032|239639|2192|191888|1992|47751|1594|16608|948|31143|1505|128146|2138|101389|2164|26757|1209
03000E2US2|789687|2475|516223|2505|399943|2564|116280|1911|40435|1258|75845|1652|273464|2613|226286|2416|47178|1486
03000E2US3|1503125|4386|1023576|3985|820628|4211|202948|3267|74149|2095|128799|2384|479549|4401|399099|4179|80450|1931
03000E2US4|602011|2532|413807|2348|341104|2214|72703|1803|28021|1256|44682|1237|188204|2616|157275|2457|30929|1173
03000E2US5|1290388|4495|871770|4871|644014|5996|227756|3571|65791|2122|161965|2946|418618|4440|353642|4355|64976|2148
03000E2US6|950978|3641|654698|3764|489004|4013|165694|2974|48477|1633|117217|2603|296280|4123|256146|3909|40134|1575
03000E2US7|717796|2848|505248|3511|383744|3185|121504|2810|38113|1672|83391|2215|212548|3890|184923|3583|27625|1282
03000E2US8|570491|3026|390349|2852|307133|3117|83216|1924|29242|1262|53974|1451|180142|3047|147600|3017|32542|1165
03000E2US9|584180|2325|381927|2963|293751|3103|88176|1983|31485|1315|56691|1424|202253|2693|160899|2632|41354|1550
03000G0US1|281370|1892|169642|1826|135173|2010|34469|1098|11512|600|22957|924|111728|1764|88324|1841|23404|973
03000G0US2|307755|1658|194674|1740|152155|1812|42519|1101|15423|657|27096|892|113081|1655|94034|1613|19047|826
03000G0US3|1211466|5079|778719|3591|612056|3903|166663|2770|60896|1380|105767|2021|432747|3906|366692|3770|66055|1564
03000G0US4|1309920|6936|835492|3847|669731|3985|165761|2221|59454|1300|106307|1927|474428|5236|408005|5007|66423|1295
03000G0US5|1346533|5149|871947|4641|627173|4960|244774|3073|67148|1942|177626|2482|474586|4730|413419|4846|61167|1805
03000G0US6|909252|4399|600120|4558|429644|4032|170476|2865|46776|1729|123700|2137|309132|4089|272808|3986|36324|1463
03000G0US7|1056967|4363|705206|4045|519046|3881|186160|2835|55461|1670|130699|2246|351761|3755|309559|3499|42202|1486
03000G0US8|504056|2467|319874|2716|253311|2398|66563|1894|21833|1036|44730|1472|184182|2444|156463|2474|27719|1381
03000G0US9|263208|1859|168283|2185|129190|2018|39093|1256|13222|713|25871|1094|94925|2053|77968|1881|16957|934
03000H0US1|762910|3031|470178|3332|369514|3274|100664|2107|33997|1310|66667|1944|292732|2743|231592|2785|61140|1796
03000H0US2|1281721|3647|805001|3693|610643|3896|194358|2449|66474|1560|127884|2183|476720|3519|393477|3497|83243|2074
03000H0US3|3441917|10531|2192513|7047|1694460|8659|498053|5355|175459|3401|322594|3414|1249404|7353|1041978|7860|207426|3354
03000H0US4|2554042|11402|1611413|6830|1269189|7353|342224|4313|119311|2614|222913|3241|942629|7739|794555|7780|148074|2474
03000H0US5|3067245|8908|1991181|8111|1418455|9235|572726|5255|154302|3496|418424|3903|1076064|6557|920035|6897|156029|3095
03000H0US6|2293562|7604|1502496|7521|1068988|7738|433508|5187|117343|2974|316165|4161|791066|6015|683371|6093|107695|2922
03000H0US7|2338810|6853|1549139|6252|1120270|6065|428869|4771|123307|2722|305562|3656|789671|5948|681868|5863|107803|2640
03000H0US8|1472207|4525|948854|5090|733783|5341|215071|3391|73213|2278|141858|2785|523353|4543|430392|4553|92961|2569
03000H0US9|1110022|3692|697854|4710|523083|4589|174771|3219|57614|1883|117157|2515|412168|4042|326210|3917|85958|2129
030C201US1|4867207|9300|2956638|9841|2127985|12585|828653|8689|232954|4901|595699|7462|1910569|9517|1489603|9551|420966|5940
030C201US2|14099013|21201|8730141|22608|6094655|27499|2635486|14731|708998|8162|1926488|11439|5368872|15569|4362607|15088|1006265|8958
030C201US3|14838579|24859|8811850|23532|6225829|32581|2586021|15806|727732|8783|1858289|11292|6026729|15970|4915173|17489|1111556|9593
030C201US4|6155716|16583|3625235|13108|2686732|17753|938503|8971|279356|5201|659147|6596|2530481|9142|2024126|10271|506355|5662
030C201US5|20939156|39658|13175703|41850|9343086|49076|3832617|17725|1017364|11460|2815253|14311|7763453|19061|6256666|19306|1506787|11670
030C201US6|4705462|12258|2844573|12097|1922609|13053|921964|7245|223441|4121|698523|6195|1860889|10793|1540795|10144|320094|5628
030C201US7|12239757|20765|7941399|23370|5530549|27888|2410850|14049|659810|7701|1751040|12155|4298358|16310|3499065|16250|799293|9519
030C201US8|8272583|14375|5221845|15602|3860572|18819|1361273|9867|449544|6082|911729|7627|3050738|10708|2325415|11026|725323|6368
030C201US9|17336513|26481|11453314|30565|8238652|38997|3214662|16048|1039272|9964|2175390|10821|5883199|16370|4425796|14633|1457403|9647
030C243US1|1219809|5393|854612|5136|710043|5037|144569|2774|51337|1668|93232|2207|365197|3851|282722|3706|82475|2313
030C243US2|2406187|7660|1676639|6173|1368831|6078|307808|3833|113467|2232|194341|2962|729548|5757|593122|5655|136426|2869
030C243US3|4332919|9739|3071538|6865|2539588|8283|531950|5361|205878|3544|326072|3321|1261381|7466|1046334|7338|215047|2725
030C243US4|2644687|8299|1839432|5991|1537897|5690|301535|3158|116263|1895|185272|2378|805255|6904|679095|6377|126160|2105
030C243US5|5472198|16092|3872486|14454|2996587|15764|875899|7544|264839|4394|611060|5271|1599712|9832|1353889|9453|245823|4169
030C243US6|3075962|11320|2162398|8088|1661751|9285|500647|4941|149352|3070|351295|4269|913564|7754|793229|7613|120335|3054
030C243US7|3326215|10912|2416687|9200|1898519|8170|518168|5116|170218|3386|347950|4606|909528|7521|780008|6839|129520|3405
